,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city
70,"2,995",Mclaughlin,"4 bd
4 ba
2000 - 2500 sf",4,4,2000,Townhouse,Oshawa
71,"3,250",Windfields,"4 bd
4 ba
3000 - 3500 sf",4,4,3000,House,Oshawa
72,"1,599",Northglen,"2 bd
1 ba
60 x 142 ft",2,1,60,House,Oshawa
73,"3,050",Pinecrest,"4 bd
4 ba",4,4,,House,Oshawa
74,"1,900",Central Oshawa,"V Tour

2 bd
1 ba",2,,,"


House",Oshawa
75,"3,100",Taunton,"4 bd
3 ba
2000 - 2500 sf
34 x 113 ft",4,3,2000,House,Oshawa
76,"1,450",Central Oshawa,"1 bd
1 ba
< 700 sf",1,1,<,Duplex,Oshawa
77,"2,500",Samac,"3 bd
3 ba
1500 - 2000 sf",3,3,1500,Townhouse,Oshawa
78,"2,400",O'neill,"3 bd
2 ba",3,2,,House,Oshawa
79,"3,500",Samac,"4 bd
4 ba",4,4,,House,Oshawa
80,"3,500",Samac,"4 bd
3 ba
2500 - 3000 sf
36 x 103 ft",4,3,2500,House,Oshawa
81,"2,800",Windfields,"4 bd
3 ba",4,3,,Townhouse,Oshawa
82,"3,500",Samac,"4 bd
4 ba",4,4,,House,Oshawa
83,"1,700",Pinecrest,"1 bd
1 ba
1100 - 1500 sf",1,1,1100,House,Oshawa
84,849,Mclaughlin,"3 bd
1 ba
35 x 38 ft",3,1,35,House,Oshawa
85,"2,850",Samac,"3 + 1 bd
4 ba
29 x 119 ft",3 + 1,4,29,House,Oshawa
86,"2,100",Central Oshawa,"3 bd
1 ba",3,1,,House,Oshawa
87,"1,295",Central Oshawa,"0 bd
1 ba",0,1,,House,Oshawa
88,"1,775",O'neill,"1 + 1 bd
2 ba
700 - 799 sf",1 + 1,2,700,Apt/Condo,Oshawa
89,"2,600",Central Oshawa,"3 bd
1 ba
29 x 95 ft",3,1,29,House,Oshawa
90,"3,750",Taunton,"V Tour

4 bd
4 ba",4,,,"


House",Oshawa
91,"1,600",Vanier,"2 bd
1 ba",2,1,,House,Oshawa
92,"1,650",Lakeview,"V Tour

2 bd
2 ba
29 x 92 ft",2,,29,"


House",Oshawa
93,"1,850",Lakeview,"V Tour

3 bd
1 ba
29 x 92 ft",3,,29,"


House",Oshawa
94,"4,000",Taunton,"4 bd
4 ba
3000 - 3500 sf
40 x 110 ft",4,4,3000,House,Oshawa
95,"1,450",Pinecrest,"1 bd
1 ba",1,1,,House,Oshawa
96,"2,300",Vanier,"3 bd
1 ba",3,1,,House,Oshawa
97,"1,650",Donevan,"1 bd
1 ba",1,1,,House,Oshawa
98,"3,600",Taunton,"4 bd
3 ba
36 x 115 ft",4,3,36,House,Oshawa
99,"1,500",Mclaughlin,"1 bd
1 ba
50 x 227 ft",1,1,50,House,Oshawa
100,"2,700",Lakeview,"3 + 1 bd
3 ba
27 x 110 ft",3 + 1,3,27,House,Oshawa
