,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
60,"2,650",Northwest Brampton,"4 bd
3 ba",4,3,,House,Brampton,Ontario
61,"1,700",Heart Lake East,"2 bd
1 ba",2,1,,Apt/Condo,Brampton,Ontario
62,"1,600",Sandringham Wellington,"V Tour

2 bd
1 ba",2,,,"


House",Brampton,Ontario
63,"1,650",Credit Valley,"2 bd
1 ba",2,1,,Apt/Condo,Brampton,Ontario
64,"1,800",Downtown Brampton,"2 bd
1 ba",2,1,,Duplex,Brampton,Ontario
65,"2,650",Brampton East,"V Tour

3 + 2 bd
1 ba
53 x 110 ft",3 + 2,,53,"


House",Brampton,Ontario
66,"2,750",Fletcher's Creek South,"3 + 1 bd
3 ba
1600 - 1799 sf",3 + 1,3,1600,Townhouse,Brampton,Ontario
67,"1,650",Bram West,"2 bd
1 ba
700 - 1100 sf",2,1,700,House,Brampton,Ontario
68,"3,200",Vales Of Castlemore,"4 bd
3 ba
45 x 83 ft",4,3,45,House,Brampton,Ontario
69,"2,750",Fletcher's Creek South,"3 + 1 bd
3 ba
1600 - 1799 sf",3 + 1,3,1600,Townhouse,Brampton,Ontario
70,"1,700",Sandringham Wellington,"2 bd
1 ba",2,1,,House,Brampton,Ontario
71,"2,600",Downtown Brampton,"V Tour

3 bd
2 ba",3,,,"


Townhouse",Brampton,Ontario
72,"2,800",Northwest Brampton,"4 bd
3 ba",4,3,,Townhouse,Brampton,Ontario
73,"3,100",Sandringham Wellington,"4 bd
3 ba
2500 - 3000 sf
45 x 89 ft",4,3,2500,House,Brampton,Ontario
74,"3,499",Bram East,"3 bd
3 ba",3,3,,Townhouse,Brampton,Ontario
75,"2,600",Fletcher's Creek Village,"4 bd
4 ba",4,4,,Townhouse,Brampton,Ontario
76,"1,800",Heart Lake East,"V Tour

2 bd
1 ba",2,,,"


Apt/Condo",Brampton,Ontario
77,"1,500",Northgate,"1 bd
1 ba",1,1,,House,Brampton,Ontario
78,"2,900",Bram West,"4 bd
4 ba",4,4,,Townhouse,Brampton,Ontario
79,"2,700",Credit Valley,"3 + 1 bd
4 ba
22 x 104 ft",3 + 1,4,22,House,Brampton,Ontario
80,"2,790",Madoc,"3 bd
2 ba
1000 - 1199 sf",3,2,1000,Townhouse,Brampton,Ontario
81,"2,300",Madoc,"3 bd
1 ba
30 x 100 ft",3,1,30,House,Brampton,Ontario
82,"1,699",Toronto Gore Rural Estate,"2 bd
1 ba",2,1,,House,Brampton,Ontario
83,"1,600",Bram East,"2 bd
1 ba",2,1,,Apt/Condo,Brampton,Ontario
84,"2,300",Avondale,"3 bd
2 ba
55 x 110 ft",3,2,55,House,Brampton,Ontario
85,"4,000",Fletcher's Creek Village,"4 + 2 bd
4 ba
2500 - 3000 sf",4 + 2,4,2500,House,Brampton,Ontario
86,"2,699",Brampton West,"3 + 1 bd
3 ba",3 + 1,3,,Townhouse,Brampton,Ontario
87,"2,800",Northwest Brampton,"4 bd
3 ba
2000 - 2500 sf
28 x 88 ft",4,3,2000,House,Brampton,Ontario
88,"1,700",Bram East,"2 bd
1 ba
38 x 109 ft",2,1,38,House,Brampton,Ontario
89,"3,500",Downtown Brampton,"V Tour

5 bd
2 ba
58 x 132 ft",5,,58,"


House",Brampton,Ontario
90,"1,800",Sandringham Wellington,"2 bd
1 ba",2,1,,House,Brampton,Ontario
91,"2,950",Northwest Brampton,"4 bd
3 ba
2000 - 2500 sf
38 x 88 ft",4,3,2000,House,Brampton,Ontario
92,"2,600",Bram West,"3 bd
3 ba
1200 - 1399 sf",3,3,1200,Townhouse,Brampton,Ontario
93,"3,500",Heart Lake East,"3 bd
4 ba
1500 - 2000 sf",3,4,1500,Townhouse,Brampton,Ontario
94,"2,800",Fletcher's Meadow,"4 bd
3 ba
2000 - 2500 sf
36 x 85 ft",4,3,2000,House,Brampton,Ontario
95,"3,300",Northwood Park,"4 bd
2 ba",4,2,,House,Brampton,Ontario
96,"1,800",Toronto Gore Rural Estate,"2 bd
1 ba",2,1,,House,Brampton,Ontario
97,"2,750",Sandringham Wellington North,"3 bd
11 ba
2000 - 2500 sf",3,11,2000,Townhouse,Brampton,Ontario
98,"2,799",Credit Valley,"4 bd
3 ba
22 x 100 ft",4,3,22,House,Brampton,Ontario
99,"2,700",Northwest Brampton,"3 bd
3 ba
1500 - 2000 sf",3,3,1500,Townhouse,Brampton,Ontario
100,"3,350",Sandringham Wellington,"3 bd
3 ba",3,3,,Townhouse,Brampton,Ontario
101,"2,800",Brampton West,"4 bd
3 ba",4,3,,House,Brampton,Ontario
102,"3,450",Northgate,"4 + 1 bd
4 ba
2500 - 3000 sf
52 x 105 ft",4 + 1,4,2500,House,Brampton,Ontario
103,"2,300",Bram East,"3 bd
2 ba",3,2,,Apt/Condo,Brampton,Ontario
104,"2,400",Brampton East,"3 bd
1 ba",3,1,,House,Brampton,Ontario
105,"2,699",Credit Valley,"3 bd
3 ba
27 x 88 ft",3,3,27,House,Brampton,Ontario
106,"3,200",Credit Valley,"4 bd
3 ba
2000 - 2500 sf",4,3,2000,House,Brampton,Ontario
107,"2,850",Fletcher's West,"3 bd
2 ba
29 x 110 ft",3,2,29,House,Brampton,Ontario
108,"2,799",Brampton West,"3 bd
2 ba",3,2,,House,Brampton,Ontario
109,"2,600",Madoc,"3 bd
3 ba
1500 - 2000 sf
63 x 100 ft",3,3,1500,House,Brampton,Ontario
110,"1,400",Brampton North,"1 bd
1 ba",1,1,,House,Brampton,Ontario
111,"2,400",Brampton North,"3 bd
1 ba",3,1,,House,Brampton,Ontario
112,"2,450",Brampton East,"V Tour

2 bd
2 ba
1100 - 1500 sf
50 x 116 ft",2,,1100,"


House",Brampton,Ontario
113,"1,550",Brampton East,"V Tour

2 bd
1 ba
1100 - 1500 sf
50 x 116 ft",2,,1100,"


House",Brampton,Ontario
114,"2,800",Northwest Sandalwood Parkway,"3 bd
3 ba
1500 - 2000 sf
30 x 100 ft",3,3,1500,House,Brampton,Ontario
115,"1,150",Fletcher's Meadow,"1 bd
1 ba",1,1,,Townhouse,Brampton,Ontario
116,"3,500",Toronto Gore Rural Estate,"4 bd
3 ba
3000 - 3500 sf",4,3,3000,House,Brampton,Ontario
117,"2,600",Heart Lake West,"4 bd
3 ba",4,3,,House,Brampton,Ontario
118,"1,500",Sandringham Wellington,"1 bd
1 ba",1,1,,House,Brampton,Ontario
119,"3,200",Bram East,"3 + 1 bd
4 ba",3 + 1,4,,Townhouse,Brampton,Ontario
120,"1,250",Credit Valley,"1 bd
1 ba
700 - 1100 sf",1,1,700,House,Brampton,Ontario
121,"3,500",Northwest Brampton,"4 bd
4 ba",4,4,,House,Brampton,Ontario
122,"2,700",Madoc,"4 bd
3 ba
1500 - 2000 sf
22 x 109 ft",4,3,1500,House,Brampton,Ontario
123,"3,500",Westgate,"V Tour

3 + 1 bd
2 ba
35 x 100 ft",3 + 1,,35,"


House",Brampton,Ontario
124,"3,400",Sandringham Wellington,"4 bd
3 ba
36 x 101 ft",4,3,36,House,Brampton,Ontario
125,"1,400",Brampton West,"1 bd
1 ba
700 - 1100 sf
29 x 110 ft",1,1,700,House,Brampton,Ontario
126,"2,700",Credit Valley,"3 bd
3 ba",3,3,,House,Brampton,Ontario
127,"2,100",Vales Of Castlemore,"2 bd
1 ba",2,1,,House,Brampton,Ontario
128,"2,500",Central Park,"3 bd
2 ba
33 x 105 ft",3,2,33,Duplex,Brampton,Ontario
