,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
58,"2,320",Cooksville,"2 bd
1 ba
905 sf",2,1,905,Apt/Condo,mississauga,Ontario
59,"1,700",Cooksville,"V Tour

1 bd
1 ba
656 sf",1,,656,"


Apt/Condo",mississauga,Ontario
60,"1,900",Applewood,"2 bd
1 ba
1057 sf",2,1,1057,Apt/Condo,mississauga,Ontario
61,"1,600",Applewood,"1 bd
1 ba
732 sf",1,1,732,Apt/Condo,mississauga,Ontario
62,"2,199",Applewood,"3 bd
1 ba
950 sf",3,1,950,Apt/Condo,mississauga,Ontario
63,"1,950",Applewood,"2 bd
1 ba
850 sf",2,1,850,Apt/Condo,mississauga,Ontario
64,"2,350",Port Credit,"2 bd
1 ba",2,1,,Apt/Condo,mississauga,Ontario
65,"2,500",Port Credit,"3 bd
1 ba",3,1,,Apt/Condo,mississauga,Ontario
66,"1,950",Lakeview,"2 bd
1 ba",2,1,,Apt/Condo,mississauga,Ontario
67,"1,895",Port Credit,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
68,"1,575",Port Credit,"0 bd
1 ba",0,1,,Apt/Condo,mississauga,Ontario
69,"1,975",Meadowvale,"V Tour

2 bd
1 ba
800 sf",2,,800,"


Apt/Condo",mississauga,Ontario
70,"1,650",Mississauga Valleys,"V Tour

1 bd
1 ba
588 sf",1,,588,"


Apt/Condo",mississauga,Ontario
71,"1,999",Cooksville,"1 bd
1 ba
925 sf",1,1,925,Apt/Condo,mississauga,Ontario
72,"1,925",Cooksville,"2 bd
1 ba",2,1,,Apt/Condo,mississauga,Ontario
73,"2,299",Meadowvale,"2 bd
1 ba",2,1,,House,mississauga,Ontario
74,"2,599",Meadowvale,"3 bd
2 ba",3,2,,House,mississauga,Ontario
75,"1,495",Cooksville,"1 bd
1 ba
650 sf",1,1,650,Apt/Condo,mississauga,Ontario
76,"1,550",Cooksville,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,mississauga,Ontario
77,"1,595",Cooksville,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,mississauga,Ontario
78,"1,800",Cooksville,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,mississauga,Ontario
79,"2,253",Meadowvale,"1 bd
1 ba
867 sf",1,1,867,Apt/Condo,mississauga,Ontario
80,"1,400",Cooksville,"0 bd
1 ba",0,1,,Apt/Condo,mississauga,Ontario
81,"1,925",Cooksville,"2 bd
1 ba",2,1,,Apt/Condo,mississauga,Ontario
82,"2,325",Applewood,"3 bd
2 ba",3,2,,Apt/Condo,mississauga,Ontario
83,"3,100",Applewood,"3 bd
2 ba
1100 sf",3,2,1100,Apt/Condo,mississauga,Ontario
84,"2,107",Applewood,"1 bd
1 ba
745 sf",1,1,745,Apt/Condo,mississauga,Ontario
85,"2,253",Applewood,"2 bd
1 ba
924 sf",2,1,924,Apt/Condo,mississauga,Ontario
86,"2,446",Meadowvale,"2 bd
1 ba
1051 sf",2,1,1051,Apt/Condo,mississauga,Ontario
87,"1,766",Meadowvale,"1 bd
1 ba
806 sf",1,1,806,Apt/Condo,mississauga,Ontario
88,"2,312",Mississauga Valleys,"2 bd
1 ba
900 sf",2,1,900,Apt/Condo,mississauga,Ontario
89,"2,099",Meadowvale,"1 bd
1 ba",1,1,,House,mississauga,Ontario
90,"1,599",Cooksville,"V Tour

0 bd
1 ba
670 sf",0,,670,"


Apt/Condo",mississauga,Ontario
91,"1,799",Cooksville,"V Tour

1 bd
1 ba
750 sf",1,,750,"


Apt/Condo",mississauga,Ontario
92,"1,900",Applewood,"2 bd
1 ba",2,1,,Apt/Condo,mississauga,Ontario
93,"1,625",Cooksville,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
94,"1,700",Cooksville,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
95,"1,600",Applewood,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
96,"1,800",Port Credit,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
97,"1,875",Port Credit,"2 bd
1 ba",2,1,,Apt/Condo,mississauga,Ontario
98,"2,000",Applewood,"2 bd
1 ba",2,1,,Apt/Condo,mississauga,Ontario
99,"1,650",Applewood,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
100,"1,900",Applewood,"2 bd
2 ba",2,2,,Apt/Condo,mississauga,Ontario
101,"1,600",Applewood,"1 bd
1 ba",1,1,,Apt/Condo,mississauga,Ontario
102,"1,900",Clarkson,"V Tour

2 bd
1 ba
0 sf",2,,0,"


Apt/Condo",mississauga,Ontario
103,"2,300",Port Credit,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,mississauga,Ontario
104,"1,600",East Credit,"2 + 1 bd
1 ba
700 - 1100 sf",2 + 1,1,700,House,mississauga,Ontario
105,"2,600",Mississauga City Centre,"2 + 1 bd
2 ba
1000 - 1199 sf",2 + 1,2,1000,Apt/Condo,mississauga,Ontario
106,"2,000",Mississauga City Centre,"1 bd
1 ba
500 - 599 sf",1,1,500,Apt/Condo,mississauga,Ontario
107,"2,000",Streetsville,"3 bd
1 ba",3,1,,Apt/Condo,mississauga,Ontario
108,"1,800",Port Credit,"2 bd
1 ba",2,1,,House,mississauga,Ontario
109,"2,250",Lakeview,"3 bd
2 ba
900 - 999 sf",3,2,900,Apt/Condo,mississauga,Ontario
110,"1,899",Cooksville,"2 bd
1 ba
700 - 1100 sf
110 x 145 ft",2,1,700,House,mississauga,Ontario
111,"1,700",Lisgar,"2 bd
1 ba",2,1,,House,mississauga,Ontario
112,"2,500",Hurontario,"2 bd
2 ba
800 - 899 sf",2,2,800,Apt/Condo,mississauga,Ontario
113,"3,600",Hurontario,"4 bd
3 ba
22 x 108 ft",4,3,22,House,mississauga,Ontario
114,"2,800",Mississauga City Centre,"2 + 1 bd
2 ba
1000 - 1199 sf",2 + 1,2,1000,Apt/Condo,mississauga,Ontario
115,"1,750",East Credit,"2 bd
2 ba",2,2,,House,mississauga,Ontario
116,"1,700",Meadowvale,"1 bd
2 ba",1,2,,House,mississauga,Ontario
117,"3,000",Mississauga City Centre,"2 + 1 bd
2 ba
1000 - 1199 sf",2 + 1,2,1000,Apt/Condo,mississauga,Ontario
118,"2,500",Rathwood,"3 bd
1 ba",3,1,,House,mississauga,Ontario
119,"2,650",Mississauga Valleys,"3 bd
1 ba",3,1,,Apt/Condo,mississauga,Ontario
120,"1,300",Churchill Meadows,"1 bd
1 ba",1,1,,House,mississauga,Ontario
121,"2,500",Fairview,"2 + 1 bd
1 ba
900 - 999 sf",2 + 1,1,900,Apt/Condo,mississauga,Ontario
122,"2,150",Central Erin Mills,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,mississauga,Ontario
123,"1,899",Meadowvale,"2 bd
1 ba
50 x 127 ft",2,1,50,House,mississauga,Ontario
124,"2,100",Mississauga City Centre,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,mississauga,Ontario
125,"2,899",Fairview,"2 + 1 bd
2 ba
900 - 999 sf",2 + 1,2,900,Apt/Condo,mississauga,Ontario
126,"2,800",Malton,"3 bd
2 ba
1200 - 1399 sf",3,2,1200,Townhouse,mississauga,Ontario
127,"2,200",Creditview,"1 + 1 bd
1 ba
600 - 699 sf",1 + 1,1,600,Apt/Condo,mississauga,Ontario
128,"2,100",Fairview,"1 + 1 bd
1 ba
600 - 699 sf",1 + 1,1,600,Apt/Condo,mississauga,Ontario
129,"2,700",Fairview,"2 bd
2 ba
800 - 899 sf",2,2,800,Apt/Condo,mississauga,Ontario
130,"2,300",Mississauga City Centre,"1 + 1 bd
2 ba
700 - 799 sf",1 + 1,2,700,Apt/Condo,mississauga,Ontario
